Node Count,Node ID,Lifetime (s),Battery Initial (mJ),Battery Remaining (mJ),Status
45,43,8201,8800,624,Alive
45,44,8564,8800,211,Alive
45,45,8419,8800,346,Alive
50,1,8567,8800,205,Alive
50,2,8348,8800,463,Alive
50,3,8410,8800,435,Alive
50,4,8408,8800,378,Alive
50,5,8359,8800,402,Alive
50,6,8368,8800,436,Alive
50,7,8615,8800,147,Alive
50,8,8767,8800,5,Alive
50,9,8375,8800,463,Alive
50,10,8401,8800,447,Alive
50,11,8529,8800,250,Alive
50,12,8800,8800,0,Dead
50,13,8463,8800,348,Alive
50,14,8596,8800,237,Alive
50,15,8682,8800,156,Alive
50,16,8502,8800,333,Alive
50,17,8589,8800,173,Alive
50,18,8541,8800,267,Alive
50,19,8605,8800,163,Alive
50,20,8295,8800,503,Alive
50,21,8481,8800,368,Alive
50,22,8522,8800,239,Alive
50,23,8520,8800,290,Alive
50,24,8621,8800,147,Alive
50,25,8517,8800,308,Alive
50,26,8278,8800,480,Alive
50,27,8539,8800,281,Alive
50,28,8318,8800,459,Alive
50,29,8345,8800,482,Alive
50,30,8387,8800,457,Alive
50,31,8433,8800,368,Alive
50,32,8218,8800,614,Alive
50,33,8618,8800,147,Alive
50,34,8277,8800,541,Alive
50,35,8686,8800,162,Alive
50,36,8281,8800,480,Alive
50,37,8642,8800,132,Alive
50,38,8446,8800,355,Alive
50,39,8193,8800,641,Alive
50,40,8294,8800,555,Alive
50,41,8649,8800,153,Alive
50,42,8517,8800,255,Alive
50,43,8438,8800,327,Alive
50,44,8117,8800,689,Alive
50,45,8658,8800,130,Alive
50,46,8731,8800,71,Alive
50,47,8703,8800,88,Alive
50,48,8358,8800,449,Alive
50,49,8507,8800,281,Alive
50,50,8524,8800,239,Alive
55,1,8171,8800,583,Alive
55,2,8086,8800,696,Alive
55,3,8666,8800,148,Alive
55,4,8354,8800,413,Alive
55,5,8521,8800,324,Alive
55,6,8492,8800,306,Alive
55,7,8604,8800,156,Alive
55,8,8335,8800,499,Alive
55,9,8431,8800,344,Alive
55,10,8484,8800,328,Alive
55,11,8531,8800,307,Alive
55,12,8573,8800,262,Alive
55,13,8328,8800,480,Alive
55,14,8300,8800,476,Alive
55,15,8604,8800,194,Alive
55,16,8094,8800,732,Alive
55,17,8636,8800,146,Alive
55,18,8355,8800,492,Alive
55,19,8399,8800,449,Alive
55,20,8298,8800,452,Alive
55,21,8393,8800,377,Alive
55,22,8591,8800,213,Alive
55,23,8516,8800,239,Alive
55,24,8474,8800,367,Alive
55,25,8413,8800,417,Alive
55,26,8183,8800,635,Alive
55,27,8273,8800,571,Alive
55,28,8349,8800,405,Alive
55,29,8469,8800,283,Alive
55,30,8410,8800,392,Alive
55,31,8548,8800,224,Alive
55,32,8471,8800,331,Alive
55,33,8408,8800,378,Alive
55,34,8741,8800,82,Alive
55,35,8461,8800,362,Alive
55,36,8335,8800,497,Alive
55,37,8679,8800,87,Alive
55,38,8580,8800,254,Alive
55,39,8672,8800,155,Alive
55,40,8383,8800,439,Alive
55,41,8546,8800,204,Alive
55,42,8182,8800,618,Alive
55,43,8518,8800,276,Alive
55,44,8376,8800,450,Alive
55,45,8197,8800,556,Alive
55,46,8555,8800,256,Alive
55,47,8128,8800,686,Alive
55,48,8113,8800,668,Alive
55,49,8454,8800,329,Alive
55,50,8486,8800,355,Alive
55,51,8546,8800,298,Alive
55,52,8511,8800,310,Alive
55,53,8621,8800,167,Alive
55,54,8505,8800,270,Alive
55,55,8380,8800,403,Alive
60,1,8541,8800,289,Alive
60,2,8336,8800,439,Alive
60,3,8491,8800,294,Alive
60,4,8265,8800,485,Alive
60,5,8412,8800,345,Alive
60,6,8551,8800,297,Alive
60,7,7959,8800,842,Alive
60,8,8252,8800,576,Alive
60,9,8439,8800,357,Alive
60,10,8532,8800,273,Alive
60,11,8380,8800,455,Alive
60,12,8357,8800,406,Alive
60,13,8592,8800,247,Alive
60,14,8541,8800,236,Alive
60,15,8220,8800,616,Alive
60,16,8367,8800,460,Alive
60,17,8404,8800,433,Alive
60,18,8608,8800,143,Alive
60,19,8480,8800,295,Alive
60,20,8334,8800,429,Alive
60,21,8383,8800,425,Alive
60,22,8067,8800,738,Alive
60,23,8495,8800,261,Alive
60,24,8447,8800,305,Alive
60,25,8532,8800,240,Alive
60,26,8328,8800,439,Alive
60,27,8369,8800,418,Alive
60,28,8278,8800,570,Alive
60,29,8178,8800,586,Alive
60,30,8260,8800,553,Alive
60,31,8077,8800,761,Alive
60,32,8487,8800,290,Alive
60,33,8024,8800,799,Alive
60,34,8655,8800,133,Alive
60,35,8085,8800,721,Alive
60,36,8575,8800,191,Alive
60,37,8214,8800,621,Alive
60,38,8434,8800,405,Alive
60,39,8237,8800,556,Alive
60,40,8601,8800,173,Alive
60,41,8357,8800,409,Alive
60,42,8511,8800,251,Alive
60,43,8361,8800,472,Alive
60,44,8403,8800,371,Alive
60,45,8442,8800,375,Alive
60,46,8271,8800,488,Alive
60,47,8158,8800,658,Alive
60,48,8155,8800,612,Alive
60,49,8358,8800,491,Alive
60,50,8277,8800,558,Alive
60,51,8028,8800,755,Alive
60,52,8427,8800,330,Alive
60,53,8167,8800,622,Alive
60,54,8176,8800,656,Alive
60,55,8344,8800,447,Alive
60,56,8215,8800,575,Alive
60,57,8368,8800,387,Alive
60,58,8646,8800,155,Alive
60,59,8293,8800,482,Alive
60,60,8191,8800,622,Alive
65,1,8013,8800,750,Alive
65,2,8441,8800,340,Alive
65,3,8304,8800,496,Alive
65,4,8319,8800,468,Alive
65,5,8246,8800,600,Alive
65,6,8264,8800,508,Alive
65,7,8231,8800,581,Alive
65,8,8206,8800,558,Alive
65,9,8243,8800,603,Alive
65,10,8238,8800,536,Alive
65,11,8176,8800,590,Alive
65,12,8218,8800,628,Alive
65,13,7925,8800,890,Alive
65,14,8403,8800,424,Alive
65,15,8359,8800,443,Alive
65,16,8287,8800,513,Alive
65,17,8336,8800,452,Alive
65,18,8341,8800,459,Alive
65,19,8191,8800,628,Alive
65,20,8220,8800,535,Alive
65,21,8379,8800,437,Alive
65,22,8331,8800,425,Alive
65,23,8606,8800,194,Alive
65,24,8543,8800,278,Alive
65,25,8440,8800,351,Alive
65,26,8186,8800,627,Alive
65,27,8215,8800,549,Alive
65,28,8150,8800,628,Alive
65,29,8342,8800,440,Alive
65,30,7889,8800,954,Alive
65,31,8231,8800,545,Alive
65,32,8254,8800,531,Alive
65,33,8071,8800,707,Alive
65,34,8420,8800,367,Alive
65,35,8129,8800,677,Alive
65,36,8340,8800,506,Alive
65,37,8718,8800,58,Alive
65,38,8058,8800,746,Alive
65,39,8278,8800,504,Alive
65,40,8239,8800,578,Alive
65,41,8210,8800,625,Alive
65,42,8414,8800,401,Alive
65,43,8466,8800,293,Alive
65,44,8416,8800,338,Alive
65,45,8191,8800,632,Alive
65,46,8665,8800,181,Alive
65,47,8034,8800,753,Alive
65,48,8145,8800,617,Alive
65,49,8325,8800,455,Alive
65,50,8313,8800,483,Alive
65,51,8373,8800,476,Alive
65,52,8537,8800,300,Alive
65,53,8282,8800,519,Alive
65,54,8317,8800,488,Alive
65,55,8211,8800,553,Alive
65,56,8388,8800,390,Alive
65,57,8252,8800,505,Alive
65,58,8252,8800,502,Alive
65,59,8382,8800,396,Alive
65,60,8455,8800,341,Alive
65,61,7969,8800,848,Alive
65,62,8354,8800,471,Alive
65,63,8259,8800,535,Alive
65,64,8442,8800,309,Alive
65,65,8262,8800,514,Alive
70,1,8445,8800,307,Alive
70,2,8458,8800,323,Alive
70,3,8401,8800,358,Alive
70,4,8005,8800,818,Alive
70,5,8292,8800,540,Alive
70,6,8091,8800,692,Alive
70,7,8173,8800,673,Alive
70,8,8276,8800,560,Alive
70,9,8375,8800,429,Alive
70,10,8116,8800,725,Alive
70,11,7901,8800,880,Alive
70,12,8277,8800,522,Alive
70,13,8647,8800,109,Alive
70,14,8220,8800,622,Alive
70,15,8257,8800,500,Alive
70,16,8517,8800,297,Alive
70,17,8339,8800,467,Alive
70,18,8283,8800,533,Alive
70,19,8316,8800,521,Alive
70,20,8288,8800,548,Alive
70,21,8079,8800,729,Alive
70,22,8049,8800,772,Alive
70,23,8533,8800,270,Alive
70,24,8278,8800,538,Alive
70,25,8265,8800,535,Alive
70,26,8236,8800,610,Alive
70,27,8367,8800,474,Alive
70,28,8631,8800,126,Alive
70,29,8329,8800,454,Alive
70,30,8162,8800,622,Alive
70,31,8230,8800,615,Alive
70,32,8411,8800,426,Alive
70,33,8163,8800,664,Alive
70,34,8378,8800,403,Alive
70,35,7902,8800,893,Alive
70,36,8216,8800,549,Alive
70,37,8344,8800,473,Alive
70,38,8441,8800,345,Alive
70,39,8127,8800,676,Alive
70,40,8025,8800,809,Alive
70,41,8211,8800,552,Alive
70,42,8081,8800,763,Alive
70,43,8228,8800,576,Alive
70,44,8249,8800,548,Alive
70,45,8052,8800,779,Alive
70,46,8371,8800,385,Alive
70,47,8226,8800,597,Alive
70,48,8412,8800,344,Alive
70,49,7973,8800,809,Alive
70,50,8097,8800,675,Alive
70,51,8328,8800,506,Alive
70,52,8130,8800,638,Alive
70,53,8225,8800,543,Alive
70,54,8250,8800,535,Alive
70,55,8274,8800,504,Alive
70,56,8148,8800,661,Alive
70,57,8272,8800,559,Alive
70,58,8133,8800,618,Alive
70,59,8351,8800,399,Alive
70,60,8233,8800,563,Alive
70,61,8273,8800,545,Alive
70,62,8635,8800,134,Alive
70,63,8084,8800,676,Alive
70,64,8458,8800,293,Alive
70,65,7851,8800,965,Alive
70,66,7938,8800,898,Alive
70,67,8064,8800,697,Alive
70,68,8073,8800,696,Alive
70,69,8281,8800,473,Alive
70,70,8293,8800,493,Alive
75,1,8162,8800,613,Alive
75,2,8387,8800,388,Alive
75,3,7875,8800,921,Alive
75,4,7937,8800,844,Alive
75,5,8118,8800,641,Alive
75,6,8346,8800,419,Alive
75,7,8195,8800,625,Alive
75,8,8150,8800,616,Alive
75,9,8402,8800,370,Alive
75,10,8523,8800,252,Alive
75,11,8301,8800,533,Alive
75,12,8107,8800,728,Alive
75,13,8137,8800,619,Alive
75,14,8007,8800,756,Alive
75,15,8215,8800,613,Alive
75,16,7956,8800,800,Alive
75,17,8283,8800,475,Alive
75,18,8501,8800,296,Alive
75,19,8308,8800,513,Alive
75,20,8130,8800,678,Alive
75,21,8279,8800,557,Alive
75,22,8443,8800,399,Alive
75,23,8436,8800,395,Alive
75,24,8049,8800,795,Alive
75,25,8277,8800,566,Alive
75,26,8176,8800,612,Alive
75,27,8321,8800,527,Alive
75,28,8258,8800,509,Alive
75,29,7845,8800,963,Alive
75,30,8148,8800,618,Alive
75,31,8230,8800,533,Alive
75,32,7985,8800,795,Alive
75,33,8287,8800,486,Alive
75,34,7971,8800,877,Alive
75,35,8080,8800,729,Alive
75,36,8401,8800,393,Alive
75,37,8067,8800,780,Alive
75,38,8286,8800,466,Alive
75,39,7937,8800,849,Alive
75,40,8512,8800,280,Alive
75,41,8154,8800,635,Alive
75,42,8214,8800,625,Alive
75,43,8227,8800,577,Alive
75,44,8291,8800,545,Alive
75,45,7972,8800,816,Alive
75,46,8199,8800,565,Alive
75,47,8101,8800,652,Alive
75,48,7947,8800,895,Alive
75,49,8348,8800,487,Alive
75,50,8147,8800,627,Alive
75,51,8236,8800,526,Alive
75,52,8227,8800,604,Alive
75,53,8150,8800,632,Alive
75,54,8496,8800,269,Alive
75,55,8193,8800,598,Alive
75,56,7966,8800,849,Alive
75,57,8140,8800,664,Alive
75,58,8275,8800,573,Alive
75,59,8280,8800,511,Alive
75,60,8037,8800,746,Alive
75,61,8339,8800,440,Alive
75,62,7936,8800,826,Alive
75,63,8372,8800,390,Alive
75,64,8002,8800,765,Alive
75,65,8166,8800,615,Alive
75,66,8360,8800,485,Alive
75,67,8218,8800,630,Alive
75,68,8323,8800,465,Alive
75,69,8293,8800,502,Alive
75,70,8393,8800,385,Alive
75,71,8359,8800,452,Alive
75,72,8132,8800,710,Alive
75,73,8295,8800,516,Alive
75,74,7971,8800,835,Alive
75,75,8191,8800,574,Alive
80,1,8083,8800,705,Alive
80,2,8368,8800,447,Alive
80,3,8387,8800,458,Alive
80,4,8072,8800,690,Alive
80,5,8087,8800,708,Alive
80,6,8108,8800,668,Alive
80,7,7948,8800,818,Alive
80,8,8012,8800,832,Alive
80,9,7999,8800,848,Alive
80,10,8035,8800,774,Alive
80,11,8145,8800,668,Alive
80,12,8185,8800,652,Alive
80,13,8383,8800,401,Alive
80,14,8000,8800,819,Alive
80,15,8298,8800,534,Alive
80,16,8118,8800,661,Alive
80,17,8143,8800,677,Alive
80,18,8251,8800,572,Alive
80,19,7982,8800,863,Alive
80,20,8207,8800,640,Alive
80,21,8175,8800,637,Alive
80,22,8224,8800,553,Alive
80,23,8193,8800,616,Alive
80,24,8518,8800,310,Alive
80,25,8054,8800,789,Alive
80,26,8070,8800,716,Alive
80,27,8057,8800,785,Alive
80,28,8067,8800,704,Alive
80,29,8054,8800,763,Alive
80,30,8328,8800,441,Alive
80,31,8363,8800,482,Alive
80,32,8064,8800,785,Alive
80,33,8025,8800,792,Alive
80,34,8221,8800,619,Alive
80,35,8067,8800,746,Alive
80,36,8245,8800,521,Alive
80,37,8180,8800,581,Alive
80,38,7923,8800,848,Alive
80,39,8382,8800,384,Alive
80,40,8419,8800,340,Alive
80,41,8058,8800,756,Alive
80,42,8092,8800,679,Alive
80,43,8193,8800,646,Alive
80,44,8200,8800,631,Alive
80,45,8249,8800,550,Alive
80,46,8452,8800,311,Alive
80,47,8123,8800,690,Alive
80,48,8030,8800,766,Alive
80,49,7943,8800,835,Alive
80,50,8040,8800,785,Alive
80,51,8145,8800,640,Alive
80,52,8419,8800,429,Alive
80,53,8072,8800,729,Alive
80,54,8184,8800,641,Alive
80,55,8148,8800,608,Alive
80,56,8328,8800,450,Alive
80,57,8529,8800,231,Alive
80,58,8070,8800,712,Alive
80,59,8077,8800,678,Alive
80,60,8307,8800,521,Alive
80,61,8252,8800,529,Alive
80,62,8427,8800,373,Alive
80,63,8238,8800,586,Alive
80,64,8096,8800,711,Alive
80,65,8239,8800,597,Alive
80,66,8316,8800,459,Alive
80,67,8273,8800,574,Alive
80,68,8226,8800,569,Alive
80,69,8310,8800,537,Alive
80,70,8325,8800,453,Alive
80,71,8357,8800,396,Alive
80,72,8247,8800,583,Alive
80,73,8125,8800,723,Alive
80,74,8172,8800,590,Alive
80,75,8331,8800,457,Alive
80,76,8027,8800,737,Alive
80,77,8205,8800,573,Alive
80,78,8091,8800,687,Alive
80,79,8154,8800,670,Alive
80,80,8342,8800,439,Alive
